domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),690,Seychelles,664,Food supply (kcal/capita/day),S2807,Rice and products,2019,2019,kcal/capita/day,328,E,Estimated value,3121,10.51,"10,51"
FBS,Food Balances (2010-),690,Seychelles,664,Food supply (kcal/capita/day),S2542,Sugar (Raw Equivalent),2019,2019,kcal/capita/day,323,E,Estimated value,3121,10.35,"10,35"
FBS,Food Balances (2010-),690,Seychelles,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2019,2019,kcal/capita/day,138,E,Estimated value,3121,4.42,"4,42"
FBS,Food Balances (2010-),690,Seychelles,664,Food supply (kcal/capita/day),S2733,Pigmeat,2019,2019,kcal/capita/day,125,E,Estimated value,3121,4.01,"4,01"
FBS,Food Balances (2010-),690,Seychelles,664,Food supply (kcal/capita/day),S2560,Coconuts - Incl Copra,2019,2019,kcal/capita/day,123,E,Estimated value,3121,3.94,"3,94"
