domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),400,Jordan,664,Food supply (kcal/capita/day),S2542,Sugar (Raw Equivalent),2019,2019,kcal/capita/day,315,E,Estimated value,2528,12.46,"12,46"
FBS,Food Balances (2010-),400,Jordan,664,Food supply (kcal/capita/day),S2807,Rice and products,2019,2019,kcal/capita/day,206,E,Estimated value,2528,8.15,"8,15"
FBS,Food Balances (2010-),400,Jordan,664,Food supply (kcal/capita/day),S2573,Sunflowerseed Oil,2019,2019,kcal/capita/day,164,E,Estimated value,2528,6.49,"6,49"
FBS,Food Balances (2010-),400,Jordan,664,Food supply (kcal/capita/day),S2848,Milk - Excluding Butter,2019,2019,kcal/capita/day,140,E,Estimated value,2528,5.54,"5,54"
FBS,Food Balances (2010-),400,Jordan,664,Food supply (kcal/capita/day),S2577,Palm Oil,2019,2019,kcal/capita/day,94,E,Estimated value,2528,3.72,"3,72"
