domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),204,Benin,664,Food supply (kcal/capita/day),S2535,Yams,2019,2019,kcal/capita/day,418,E,Estimated value,2773,15.07,"15,07"
FBS,Food Balances (2010-),204,Benin,664,Food supply (kcal/capita/day),S2532,Cassava and products,2019,2019,kcal/capita/day,343,E,Estimated value,2773,12.37,"12,37"
FBS,Food Balances (2010-),204,Benin,664,Food supply (kcal/capita/day),S2514,Maize and products,2019,2019,kcal/capita/day,311,E,Estimated value,2773,11.22,"11,22"
FBS,Food Balances (2010-),204,Benin,664,Food supply (kcal/capita/day),S2577,Palm Oil,2019,2019,kcal/capita/day,123,E,Estimated value,2773,4.44,"4,44"
FBS,Food Balances (2010-),204,Benin,664,Food supply (kcal/capita/day),S2511,Wheat and products,2019,2019,kcal/capita/day,118,E,Estimated value,2773,4.26,"4,26"
