domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),368,Iraq,664,Food supply (kcal/capita/day),S2807,Rice and products,2019,2019,kcal/capita/day,345,E,Estimated value,2610,13.22,"13,22"
FBS,Food Balances (2010-),368,Iraq,664,Food supply (kcal/capita/day),S2573,Sunflowerseed Oil,2019,2019,kcal/capita/day,169,E,Estimated value,2610,6.48,"6,48"
FBS,Food Balances (2010-),368,Iraq,664,Food supply (kcal/capita/day),S2542,Sugar (Raw Equivalent),2019,2019,kcal/capita/day,168,E,Estimated value,2610,6.44,"6,44"
FBS,Food Balances (2010-),368,Iraq,664,Food supply (kcal/capita/day),S2577,Palm Oil,2019,2019,kcal/capita/day,103,E,Estimated value,2610,3.95,"3,95"
FBS,Food Balances (2010-),368,Iraq,664,Food supply (kcal/capita/day),S2848,Milk - Excluding Butter,2019,2019,kcal/capita/day,72,E,Estimated value,2610,2.76,"2,76"
