domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),376,Israel,664,Food supply (kcal/capita/day),S2542,Sugar (Raw Equivalent),2019,2019,kcal/capita/day,324,E,Estimated value,3554,9.12,"9,12"
FBS,Food Balances (2010-),376,Israel,664,Food supply (kcal/capita/day),S2848,Milk - Excluding Butter,2019,2019,kcal/capita/day,283,E,Estimated value,3554,7.96,"7,96"
FBS,Food Balances (2010-),376,Israel,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2019,2019,kcal/capita/day,248,E,Estimated value,3554,6.98,"6,98"
FBS,Food Balances (2010-),376,Israel,664,Food supply (kcal/capita/day),S2807,Rice and products,2019,2019,kcal/capita/day,164,E,Estimated value,3554,4.61,"4,61"
FBS,Food Balances (2010-),376,Israel,664,Food supply (kcal/capita/day),S2574,Rape and Mustard Oil,2019,2019,kcal/capita/day,162,E,Estimated value,3554,4.56,"4,56"
