domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),356,India,664,Food supply (kcal/capita/day),S2511,Wheat and products,2019,2019,kcal/capita/day,515,E,Estimated value,2576,19.99,"19,99"
FBS,Food Balances (2010-),356,India,664,Food supply (kcal/capita/day),S2542,Sugar (Raw Equivalent),2019,2019,kcal/capita/day,192,E,Estimated value,2576,7.45,"7,45"
FBS,Food Balances (2010-),356,India,664,Food supply (kcal/capita/day),S2848,Milk - Excluding Butter,2019,2019,kcal/capita/day,177,E,Estimated value,2576,6.87,"6,87"
FBS,Food Balances (2010-),356,India,664,Food supply (kcal/capita/day),S2549,"Pulses, Other and products",2019,2019,kcal/capita/day,93,E,Estimated value,2576,3.61,"3,61"
FBS,Food Balances (2010-),356,India,664,Food supply (kcal/capita/day),S2740,"Butter, Ghee",2019,2019,kcal/capita/day,76,E,Estimated value,2576,2.95,"2,95"
