domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),398,Kazakhstan,664,Food supply (kcal/capita/day),S2848,Milk - Excluding Butter,2019,2019,kcal/capita/day,465,E,Estimated value,3332,13.96,"13,96"
FBS,Food Balances (2010-),398,Kazakhstan,664,Food supply (kcal/capita/day),S2573,Sunflowerseed Oil,2019,2019,kcal/capita/day,376,E,Estimated value,3332,11.28,"11,28"
FBS,Food Balances (2010-),398,Kazakhstan,664,Food supply (kcal/capita/day),S2542,Sugar (Raw Equivalent),2019,2019,kcal/capita/day,245,E,Estimated value,3332,7.35,"7,35"
FBS,Food Balances (2010-),398,Kazakhstan,664,Food supply (kcal/capita/day),S2531,Potatoes and products,2019,2019,kcal/capita/day,204,E,Estimated value,3332,6.12,"6,12"
FBS,Food Balances (2010-),398,Kazakhstan,664,Food supply (kcal/capita/day),S2731,Bovine Meat,2019,2019,kcal/capita/day,157,E,Estimated value,3332,4.71,"4,71"
