domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),108,Burundi,664,Food supply (kcal/capita/day),S2546,Beans,2019,2019,kcal/capita/day,290,E,Estimated value,1749,16.58,"16,58"
FBS,Food Balances (2010-),108,Burundi,664,Food supply (kcal/capita/day),S2533,Sweet potatoes,2019,2019,kcal/capita/day,206,E,Estimated value,1749,11.78,"11,78"
FBS,Food Balances (2010-),108,Burundi,664,Food supply (kcal/capita/day),S2514,Maize and products,2019,2019,kcal/capita/day,189,E,Estimated value,1749,10.81,"10,81"
FBS,Food Balances (2010-),108,Burundi,664,Food supply (kcal/capita/day),S2615,Bananas,2019,2019,kcal/capita/day,113,E,Estimated value,1749,6.46,"6,46"
FBS,Food Balances (2010-),108,Burundi,664,Food supply (kcal/capita/day),S2511,Wheat and products,2019,2019,kcal/capita/day,62,E,Estimated value,1749,3.54,"3,54"
