domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),764,Thailand,664,Food supply (kcal/capita/day),S2542,Sugar (Raw Equivalent),2019,2019,kcal/capita/day,415,E,Estimated value,2804,14.8,"14,8"
FBS,Food Balances (2010-),764,Thailand,664,Food supply (kcal/capita/day),S2733,Pigmeat,2019,2019,kcal/capita/day,129,E,Estimated value,2804,4.6,"4,6"
FBS,Food Balances (2010-),764,Thailand,664,Food supply (kcal/capita/day),S2511,Wheat and products,2019,2019,kcal/capita/day,126,E,Estimated value,2804,4.49,"4,49"
FBS,Food Balances (2010-),764,Thailand,664,Food supply (kcal/capita/day),S2571,Soyabean Oil,2019,2019,kcal/capita/day,115,E,Estimated value,2804,4.1,"4,1"
FBS,Food Balances (2010-),764,Thailand,664,Food supply (kcal/capita/day),S2577,Palm Oil,2019,2019,kcal/capita/day,108,E,Estimated value,2804,3.85,"3,85"
