domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),504,Morocco,664,Food supply (kcal/capita/day),S2514,Maize and products,2019,2019,kcal/capita/day,346,E,Estimated value,3361,10.29,"10,29"
FBS,Food Balances (2010-),504,Morocco,664,Food supply (kcal/capita/day),S2542,Sugar (Raw Equivalent),2019,2019,kcal/capita/day,328,E,Estimated value,3361,9.76,"9,76"
FBS,Food Balances (2010-),504,Morocco,664,Food supply (kcal/capita/day),S2513,Barley and products,2019,2019,kcal/capita/day,223,E,Estimated value,3361,6.63,"6,63"
FBS,Food Balances (2010-),504,Morocco,664,Food supply (kcal/capita/day),S2571,Soyabean Oil,2019,2019,kcal/capita/day,146,E,Estimated value,3361,4.34,"4,34"
FBS,Food Balances (2010-),504,Morocco,664,Food supply (kcal/capita/day),S2580,Olive Oil,2019,2019,kcal/capita/day,97,E,Estimated value,3361,2.89,"2,89"
