domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),740,Suriname,664,Food supply (kcal/capita/day),S2511,Wheat and products,2019,2019,kcal/capita/day,485,E,Estimated value,2758,17.59,"17,59"
FBS,Food Balances (2010-),740,Suriname,664,Food supply (kcal/capita/day),S2542,Sugar (Raw Equivalent),2019,2019,kcal/capita/day,399,E,Estimated value,2758,14.47,"14,47"
FBS,Food Balances (2010-),740,Suriname,664,Food supply (kcal/capita/day),S2571,Soyabean Oil,2019,2019,kcal/capita/day,215,E,Estimated value,2758,7.8,"7,8"
FBS,Food Balances (2010-),740,Suriname,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2019,2019,kcal/capita/day,184,E,Estimated value,2758,6.67,"6,67"
FBS,Food Balances (2010-),740,Suriname,664,Food supply (kcal/capita/day),S2733,Pigmeat,2019,2019,kcal/capita/day,79,E,Estimated value,2758,2.86,"2,86"
