domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),364,Iran (Islamic Republic of),664,Food supply (kcal/capita/day),S2542,Sugar (Raw Equivalent),2019,2019,kcal/capita/day,264,E,Estimated value,3000,8.8,"8,8"
FBS,Food Balances (2010-),364,Iran (Islamic Republic of),664,Food supply (kcal/capita/day),S2807,Rice and products,2019,2019,kcal/capita/day,258,E,Estimated value,3000,8.6,"8,6"
FBS,Food Balances (2010-),364,Iran (Islamic Republic of),664,Food supply (kcal/capita/day),S2571,Soyabean Oil,2019,2019,kcal/capita/day,154,E,Estimated value,3000,5.13,"5,13"
FBS,Food Balances (2010-),364,Iran (Islamic Republic of),664,Food supply (kcal/capita/day),S2573,Sunflowerseed Oil,2019,2019,kcal/capita/day,113,E,Estimated value,3000,3.77,"3,77"
FBS,Food Balances (2010-),364,Iran (Islamic Republic of),664,Food supply (kcal/capita/day),S2734,Poultry Meat,2019,2019,kcal/capita/day,94,E,Estimated value,3000,3.13,"3,13"
