domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),454,Malawi,664,Food supply (kcal/capita/day),S2532,Cassava and products,2019,2019,kcal/capita/day,198,E,Estimated value,2597,7.62,"7,62"
FBS,Food Balances (2010-),454,Malawi,664,Food supply (kcal/capita/day),S2733,Pigmeat,2019,2019,kcal/capita/day,161,E,Estimated value,2597,6.2,"6,2"
FBS,Food Balances (2010-),454,Malawi,664,Food supply (kcal/capita/day),S2625,"Fruits, other",2019,2019,kcal/capita/day,139,E,Estimated value,2597,5.35,"5,35"
FBS,Food Balances (2010-),454,Malawi,664,Food supply (kcal/capita/day),S2549,"Pulses, Other and products",2019,2019,kcal/capita/day,101,E,Estimated value,2597,3.89,"3,89"
FBS,Food Balances (2010-),454,Malawi,664,Food supply (kcal/capita/day),S2533,Sweet potatoes,2019,2019,kcal/capita/day,88,E,Estimated value,2597,3.39,"3,39"
