domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),012,Algeria,664,Food supply (kcal/capita/day),S2571,Soyabean Oil,2019,2019,kcal/capita/day,432,E,Estimated value,3490,12.38,"12,38"
FBS,Food Balances (2010-),012,Algeria,664,Food supply (kcal/capita/day),S2542,Sugar (Raw Equivalent),2019,2019,kcal/capita/day,264,E,Estimated value,3490,7.56,"7,56"
FBS,Food Balances (2010-),012,Algeria,664,Food supply (kcal/capita/day),S2848,Milk - Excluding Butter,2019,2019,kcal/capita/day,240,E,Estimated value,3490,6.88,"6,88"
FBS,Food Balances (2010-),012,Algeria,664,Food supply (kcal/capita/day),S2531,Potatoes and products,2019,2019,kcal/capita/day,131,E,Estimated value,3490,3.75,"3,75"
FBS,Food Balances (2010-),012,Algeria,664,Food supply (kcal/capita/day),S2514,Maize and products,2019,2019,kcal/capita/day,127,E,Estimated value,3490,3.64,"3,64"
