domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),724,Spain,664,Food supply (kcal/capita/day),S2542,Sugar (Raw Equivalent),2019,2019,kcal/capita/day,311,E,Estimated value,3346,9.29,"9,29"
FBS,Food Balances (2010-),724,Spain,664,Food supply (kcal/capita/day),S2573,Sunflowerseed Oil,2019,2019,kcal/capita/day,280,E,Estimated value,3346,8.37,"8,37"
FBS,Food Balances (2010-),724,Spain,664,Food supply (kcal/capita/day),S2580,Olive Oil,2019,2019,kcal/capita/day,274,E,Estimated value,3346,8.19,"8,19"
FBS,Food Balances (2010-),724,Spain,664,Food supply (kcal/capita/day),S2848,Milk - Excluding Butter,2019,2019,kcal/capita/day,260,E,Estimated value,3346,7.77,"7,77"
FBS,Food Balances (2010-),724,Spain,664,Food supply (kcal/capita/day),S2733,Pigmeat,2019,2019,kcal/capita/day,235,E,Estimated value,3346,7.02,"7,02"
