domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),826,United Kingdom of Great Britain and Northern Ireland,664,Food supply (kcal/capita/day),S2848,Milk - Excluding Butter,2019,2019,kcal/capita/day,343,E,Estimated value,3397,10.1,"10,1"
FBS,Food Balances (2010-),826,United Kingdom of Great Britain and Northern Ireland,664,Food supply (kcal/capita/day),S2542,Sugar (Raw Equivalent),2019,2019,kcal/capita/day,291,E,Estimated value,3397,8.57,"8,57"
FBS,Food Balances (2010-),826,United Kingdom of Great Britain and Northern Ireland,664,Food supply (kcal/capita/day),S2733,Pigmeat,2019,2019,kcal/capita/day,231,E,Estimated value,3397,6.8,"6,8"
FBS,Food Balances (2010-),826,United Kingdom of Great Britain and Northern Ireland,664,Food supply (kcal/capita/day),S2574,Rape and Mustard Oil,2019,2019,kcal/capita/day,186,E,Estimated value,3397,5.48,"5,48"
FBS,Food Balances (2010-),826,United Kingdom of Great Britain and Northern Ireland,664,Food supply (kcal/capita/day),S2531,Potatoes and products,2019,2019,kcal/capita/day,148,E,Estimated value,3397,4.36,"4,36"
