domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),624,Guinea-Bissau,664,Food supply (kcal/capita/day),S2511,Wheat and products,2019,2019,kcal/capita/day,130,E,Estimated value,2230,5.83,"5,83"
FBS,Food Balances (2010-),624,Guinea-Bissau,664,Food supply (kcal/capita/day),S2572,Groundnut Oil,2019,2019,kcal/capita/day,118,E,Estimated value,2230,5.29,"5,29"
FBS,Food Balances (2010-),624,Guinea-Bissau,664,Food supply (kcal/capita/day),S2577,Palm Oil,2019,2019,kcal/capita/day,113,E,Estimated value,2230,5.07,"5,07"
FBS,Food Balances (2010-),624,Guinea-Bissau,664,Food supply (kcal/capita/day),S2534,"Roots, Other",2019,2019,kcal/capita/day,96,E,Estimated value,2230,4.3,"4,3"
FBS,Food Balances (2010-),624,Guinea-Bissau,664,Food supply (kcal/capita/day),S2532,Cassava and products,2019,2019,kcal/capita/day,81,E,Estimated value,2230,3.63,"3,63"
