domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),180,Democratic Republic of the Congo,664,Food supply (kcal/capita/day),S2514,Maize and products,2019,2019,kcal/capita/day,190,E,Estimated value,1912,9.94,"9,94"
FBS,Food Balances (2010-),180,Democratic Republic of the Congo,664,Food supply (kcal/capita/day),S2807,Rice and products,2019,2019,kcal/capita/day,122,E,Estimated value,1912,6.38,"6,38"
FBS,Food Balances (2010-),180,Democratic Republic of the Congo,664,Food supply (kcal/capita/day),S2577,Palm Oil,2019,2019,kcal/capita/day,111,E,Estimated value,1912,5.81,"5,81"
FBS,Food Balances (2010-),180,Democratic Republic of the Congo,664,Food supply (kcal/capita/day),S2616,Plantains,2019,2019,kcal/capita/day,111,E,Estimated value,1912,5.81,"5,81"
FBS,Food Balances (2010-),180,Democratic Republic of the Congo,664,Food supply (kcal/capita/day),S2658,"Beverages, Alcoholic",2019,2019,kcal/capita/day,56,E,Estimated value,1912,2.93,"2,93"
