domain_code,domain,area_code_m49,area,element_code,element,item_code_cpc,item,year_code,year,unit,value,flag,flag_description,total,share,share_de
FBS,Food Balances (2010-),116,Cambodia,664,Food supply (kcal/capita/day),S2542,Sugar (Raw Equivalent),2019,2019,kcal/capita/day,260,E,Estimated value,2697,9.64,"9,64"
FBS,Food Balances (2010-),116,Cambodia,664,Food supply (kcal/capita/day),S2532,Cassava and products,2019,2019,kcal/capita/day,234,E,Estimated value,2697,8.68,"8,68"
FBS,Food Balances (2010-),116,Cambodia,664,Food supply (kcal/capita/day),S2733,Pigmeat,2019,2019,kcal/capita/day,66,E,Estimated value,2697,2.45,"2,45"
FBS,Food Balances (2010-),116,Cambodia,664,Food supply (kcal/capita/day),S2761,Freshwater Fish,2019,2019,kcal/capita/day,62,E,Estimated value,2697,2.3,"2,3"
FBS,Food Balances (2010-),116,Cambodia,664,Food supply (kcal/capita/day),S2577,Palm Oil,2019,2019,kcal/capita/day,58,E,Estimated value,2697,2.15,"2,15"
